,Hindi,Wordss
0,में (mẽ),in
1,है (hai),is
2,हैं (ha͠i),Huh
3,नहीं (nahī̃),No
4,लिए (lie),for
5,गया (gayā),Went
6,तथा (tathā),And
7,अपने (apne),Our
8,कुछ (kuch),Some
9,साथ (sāth),With
10,होता (hotā),Happen
11,था (thā),Was
12,दिया (diyā),gave
13,हुए (hue),Hidden
14,कोई (koī),Any
15,रूप (rūp),shape
16,से (se),from
17,मैं (ma͠i),I
18,रहा (rahā),Stayed
19,हुआ (huā),Happened
20,बात (bāt),Thing
21,कहा (kahā),said
22,समय (samay),time
23,क्या (kyā),what
24,अपनी (apnī),Own
25,होती (hotī),Had
26,प्रकार (prakār),type
27,बहुत (bahut),very
28,तरह (tarah),Kind
29,बाद (bād),Later
30,फिर (phir),Then
31,रहे (rahe),are
32,द्वारा (dvārā),By
33,अधिक (adhik),More
34,रही (rahī),doing
35,होने (hone),Having
36,एवं (evã),And
37,हुई (huī),Hui
38,थे (the),were
39,उनके (unke),Their
40,थी (thī),Was
41,वाले (vāle),Having
42,चाहिए (cāhie),Needed
43,दिन (din),day
44,लेकिन (lekin),but
45,काम (kām),Work
46,हूँ (hū̃),am
47,होते (hote),Happened
48,इसके (iske),Its
49,उन्हें (unhẽ),Them
50,गये (gaye),Gone
51,कभी (kabhī),sometimes
52,आदि (ādi),Etcetera
53,लोग (log),people
54,बार (bār),Times
55,यहाँ (yahā̃),Here
56,दोनों (donõ),Both
57,उन्होंने (unhonne),They
58,कार्य (kārya),Work
59,पास (pās),have
60,वहाँ (vahā̃),There
61,भारत (bhārat),India
62,लिया (liyā),took
63,प्राप्त (prāpt),get
64,उनकी (unkī),Her
65,लोगों (logõ),People
66,गयी (gayī),Gained
67,लगा (lagā),Put
68,अन्य (anya),Other
69,होगा (hogā),Will happen
70,इसी (isī),This
71,देश (deś),Country
72,यदि (yadi),if
73,सभी (sabhī),All
74,नाम (nām),name
75,वर्ष (varṣ),The year
76,ऐसा (aisā),Like this
77,विकास (vikās),Development
78,अपना (apnā),own
79,ऐसे (aise),This way
80,दूसरे (dūsre),Others
81,हाथ (hāth),Hand
82,भाषा (bhāṣā),language
83,मेरे (mere),My
84,मैंने (mainne),I
85,तुम (tum),You
86,बीच (bīc),Middle
87,वाली (vālī),Spongy
88,बड़े (baṛe),elder
89,प्रति (prati),To
90,व्यक्ति (vyakti),person
91,उनका (unkā),their
92,लिये (liye),To
93,इसलिए (islie),therefore
94,तीन (tīn),three
95,इसका (iskā),Its
96,ऐसी (aisī),Such
97,विशेष (viśeṣ),special
98,बड़ी (baṛī),Big
99,अथवा (athvā),Or
100,भाग (bhāg),run
101,क्योंकि (kyoṅki),Because
102,सिंह (sĩh),Lion
103,ठीक (ṭhīk),Ok
104,स्थिति (sthiti),Situation
105,परन्तु (parantu),But
106,स्थान (sthān),place
107,यही (yahī),This only
108,क्यों (kyõ),why
109,गाँव (gā̃v),village
110,राज्य (rājya),state
111,अलग (alag),Apart
112,लेकर (lekar),Rang
113,अभी (abhī),just
114,इसमें (ismẽ),in this
115,विभिन्न (vibhinna),Different
116,सी (sī),C
117,विचार (vicār),Idea
118,जिस (jis),That
119,बाहर (bāhar),Outside
120,ऊपर (ūpar),Above
121,बना (banā),Make
122,तैयार (taiyār),Ready
123,अनेक (anek),Many
124,सामने (sāmne),front
125,शिक्षा (śikṣā),education
126,शरीर (śarīr),Body
127,होकर (hokar),Gain
128,दृष्टि (dŕṣṭi),vision
129,श्री (śrī),Mister
130,थीं (thī̃),Were
131,दूर (dūr),far
132,शब्द (śabd),word
133,ध्यान (dhyān),Care
134,चार (cār),Four
135,मेरी (merī),My
136,बड़ा (baṛā),big
137,पता (patā),Know
138,लगता (lagtā),Seem
139,आगे (āge),Ahead
140,किया (kiyā),Did
141,उत्तर (uttar),north
142,किन्तु (kintu),But
143,आने (āne),Come in
144,लगे (lage),Faced
145,लगभग (lagbhag),Almost
146,इसे (ise),This
147,लाख (lākh),Lakh
148,बारे (bāre),About
149,होना (honā),Happen
150,इससे (isse),by this
151,मात्रा (mātrā),amount
152,अध्ययन (adhyayan),study
153,वाला (vālā),Gap
154,जिसमें (jismẽ),In which
155,नीचे (nīce),below
156,अर्थ (arth),meaning
157,लोक (lok),Folk
158,आवश्यक (āvaśyak),Necessary
159,हो (ho),Ho
160,माँ (mā̃),Mother
161,छोटे (choṭe),Small
162,प्रतिशत (pratiśat),Percent
163,शुरू (śurū),Start
164,अगर (agar),If
165,इतना (itnā),This much
166,आया (āyā),Came
167,होगी (hogī),Will be
168,मिल (mil),Get
169,स्वयं (svayã),Self
170,रात (rāt),night
171,बिना (binā),Without
172,हमें (hamẽ),Us
173,उपयोग (upyog),Use
174,किए (kie),Have
175,महत्वपूर्ण (mahatvapūrṇ),important
176,मुख्य (mukhya),main
177,साल (sāl),Year
178,ज्यादा (jyādā),More
179,साहित्य (sāhitya),literature
180,पूर्व (pūrv),east
181,निर्माण (nirmāṇ),construction
182,विषय (viṣay),Subject
183,जिससे (jisse),By which
184,देख (dekh),See
185,चित्र (citra),Picture
186,लगी (lagī),Felt
187,प्रत्येक (pratyek),each
188,मनुष्य (manuṣya),Human
189,गई (gaī),Went
190,स्पष्ट (spaṣṭ),clear
191,दिनों (dinõ),Day
192,रंग (raṅg),color
193,इसकी (iskī),his
194,स्तर (star),Level
195,मेरा (merā),My
196,दूसरी (dūsrī),Second
197,अच्छा (acchā),Good
198,रोग (rog),Disease
199,काल (kāl),Era
200,अच्छी (acchī),Good
201,विज्ञान (vigyān),Science
202,भाई (bhāī),Brother
203,ज्ञान (gyān),knowledge
204,दिल्ली (dillī),Delhi
205,बनाने (banāne),Make
206,रुपये (rupye),Rupees
207,रखा (rakhā),kept
208,आवश्यकता (āvaśyaktā),Need
209,आता (ātā),Now
210,कौन (kaun),Who?
211,हों (hõ),Have
212,आर्थिक (ārthik),Economic
213,सहायता (sahāytā),help
214,अतिरिक्त (atirikt),Excessive
215,देर (der),Late
216,तरफ (taraph),Side
217,लेने (lene),Take
218,चला (calā),walked
219,सामाजिक (sāmājik),social
220,समझ (samajh),Understanding
221,मगर (magar),But
222,आते (āte),Come on
223,बच्चे (bacce),Children
224,कला (kalā),Art
225,पत्र (patra),letter
226,भीतर (bhītar),Inside
227,संस्कृति (sanskŕti),Culture
228,उनमें (unmẽ),In those
229,वर्ग (varg),square
230,विभाग (vibhāg),Department
231,चाहता (cāhtā),Want want
232,सिर (sir),Head
233,बताया (batāyā),Told
234,जगह (jagah),location
235,वही (vahī),Same
236,इतनी (itnī),So much
237,स्थापित (sthāpit),established
238,राष्ट्रीय (rāṣṭrīya),National
239,स्वर (svar),Vocal
240,क्षेत्रों (kṣetrõ),Sector
241,जिसके (jiske),Whose
242,जन्म (janma),Birth
243,जाए (jāe),Go
244,दौरान (daurān),During
245,गांधी (gāndhī),Gandhi
246,हाँ (hā̃),Yes
247,जनता (jantā),public
248,किस (kis),What
249,केन्द्र (kendra),Center
250,साहब (sāhab),Sir
251,पूर्ण (pūrṇ),complete
252,पुलिस (pulis),police
253,बोला (bolā),spoke
254,थईआ (thaīā),Thia
255,कमी (kamī),lack
256,समस्या (samasyā),problem
257,कार्यक्रम (kāryakram),Program
258,विवाह (vivāh),Marriage
259,भूमि (bhūmi),Land
260,भाव (bhāv),Rate
261,देखकर (dekhkar),after seeing
262,करोड़ (karoṛ),Ten million
263,प्रथम (pratham),First
264,मूल (mūl),origin
265,परिवर्तन (parivartan),Change
266,बच्चों (baccõ),Children
267,लाभ (lābh),Benefit
268,प्रदान (pradān),Provided
269,आये (āye),Come
270,छोटी (choṭī),Small
271,स्त्री (strī),Woman
272,सेवा (sevā),Service
273,व्यवहार (vyavhār),Behaviour
274,राम (rām),Ram
275,रचना (racnā),Composition
276,की (kī),Of
277,भिन्न (bhinna),Different
278,मिट्टी (miṭṭī),Soil
279,देशों (deśõ),Countries
280,इनके (inke),They
281,आती (ātī),Come
282,सही (sahī),right
283,उपलब्ध (uplabdh),available
284,बल्कि (balki),Rather
285,प्राय (prāy),Often
286,बिजली (bijlī),Lightning
287,लेते (lete),Take
288,जान (jān),Life
289,बढ़ (baṛh),Rise
290,सारे (sāre),all
291,शायद (śāyad),maybe
292,सरकारी (sarkārī),Official
293,पड़ (paṛ),Fall
294,चुका (cukā),Repeated
295,पड़ा (paṛā),Lying
296,विधि (vidhi),Method
297,छोड़ (choṛ),leave
298,लिखा (likhā),wrote
299,जबकि (jabki),Whereas
300,सिर्फ (sirph),Only
301,दर्शन (darśan),Visit
302,प्रक्रिया (prakriyā),Process
303,दिखाई (dikhāī),Showed
304,कुल (kul),Total
305,शब्दों (śabdõ),Words
306,लाल (lāl),red
307,निकल (nikal),Out
308,नये (naye),New
309,रखने (rakhne),Keep
310,पंजाब (pañjāb),Punjab
311,नदी (nadī),River
312,गए (gae),Went
313,मृत्यु (mŕtyu),Death
314,स्वीकार (svīkār),Accept
315,अन्तरिक्ष (antarikṣ),Space
316,आकर (ākar),Come
317,याद (yād),memory
318,उठा (uṭhā),picking
319,दूध (dūdh),milk
320,कांग्रेस (kāṅgres),Congress
321,सारी (sārī),all
322,माध्यम (mādhyam),Channel
323,दूसरा (dūsrā),another
324,संबंध (sambandh),Relation
325,जिन (jin),Ginnie
326,चाहे (cāhe),Like
327,चाहते (cāhte),Want
328,प्रणाली (praṇālī),system
329,तभी (tabhī),Only then
330,होंगे (hoṅge),Will be
331,इनमें (inmẽ),Among them
332,सन (san),Sun
333,मान (mān),Value
334,पुत्र (putra),Son
335,उद्देश्य (uddeśya),Objective
336,विश्वास (viśvās),Belief
337,पिछले (pichle),last
338,ताकि (tāki),So that
339,निश्चित (niścit),Fixed
340,जिसका (jiskā),Whose
341,जानकारी (jānkārī),information
342,नेता (netā),leader
343,बालक (bālak),Boy
344,अन्त (ant),End
345,उचित (ucit),Suitable
346,संगीत (saṅgīt),music
347,जल्दी (jaldī),Soon
348,क्षमता (kṣamtā),ability
349,हजार (hajār),Thousand
350,जाएगा (jāegā),Will be
351,बनाया (banāyā),Make
352,पति (pati),husband
353,कोशिश (kośiś),Try
354,चुके (cuke),Did
355,खाने (khāne),Eat
356,फसल (phasal),Crop
357,प्रकृति (prakŕti),Nature
358,पौधों (paudhõ),Plants
359,प्रकट (prakaṭ),apparent
360,पक्ष (pakṣ),favour
361,नीति (nīti),Policy
362,यद्यपि (yadyapi),Although
363,मात्र (mātra),But
364,भारी (bhārī),Heavy
365,पुस्तकालय (pustakālay),Library
366,चले (cale),Let's go
367,समिति (samiti),Committee
368,सामग्री (sāmagrī),Material
369,चाहिये (cāhiye),Must
370,अन्तर्गत (antargat),Under
371,माल (māl),Goods
372,शामिल (śāmil),Involved
373,बोली (bolī),Dialect
374,उनसे (unse),From them
375,अपेक्षा (apekṣā),Expectation
376,हेतु (hetu),For
377,नगर (nagar),Town
378,दिये (diye),Gave
379,सम्बन्धी (sambandhī),Related to
380,पुस्तक (pustak),Book
381,खुद (khud),Self
382,वर्णन (varṇan),Description
383,बने (bane),Made
384,जोर (jor),Emphasis
385,करें (karẽ),Do
386,जिनमें (jinmẽ),In which
387,लक्षण (lakṣaṇ),Symptom
388,नामक (nāmak),Named
389,वहीं (vahī̃),There itself
390,तुम्हारे (tumhāre),Your
391,विश्व (viśva),World
392,शासन (śāsan),Governance
393,वैसे (vaise),by the way
394,युग (yug),Era
395,बैठ (baiṭh),Sitting
396,स्थापना (sthāpnā),Establishment
397,अर्थात (arthāt),meaning
398,सारा (sārā),Sara
399,लेता (letā),Takes
400,लगती (lagtī),Look
401,शैली (śailī),genre
402,लें (lẽ),Take
403,पार्टी (pārṭī),Party
404,गीत (gīt),song
405,अवसर (avsar),Occasion
406,युद्ध (yuddh),war
407,मालूम (mālūm),Known
408,चारों (cārõ),All four
409,प्रकाश (prakāś),Light
410,जायेगा (jāyegā),will go
411,बैठे (baiṭhe),Sitting
412,तुम्हें (tumhẽ),You
413,समाप्त (samāpt),End
414,जाय (jāy),Go
415,साफ (sāph),Neat
416,धार्मिक (dhārmik),religious
417,ताप (tāp),Heat
418,उल्लेख (ullekh),mention
419,वर्तमान (vartamān),Current
420,लेना (lenā),Take
421,थोड़ी (thoṛī),A little
422,इनका (inkā),Her
423,विकसित (viksit),advanced
424,बन्द (band),Closed
425,प्रसिद्ध (prasiddh),famous
426,विशिष्ट (viśiṣṭ),particular
427,प्रेम (prem),Love
428,चली (calī),Lose
429,रखते (rakhte),Keep
430,भावना (bhāvnā),feeling
431,चलता (caltā),Run
432,सिद्ध (siddh),Proven
433,वालों (vālõ),Of
434,चित्रों (citrõ),Pictures
435,पुरुष (puruṣ),Male
436,पदार्थ (padārth),Substance
437,चर्चा (carcā),Discussion
438,खाना (khānā),Meal
439,उच्च (ucc),High
440,इतने (itne),So much
441,दी (dī),Gave
442,दिए (die),lamps
443,सीमा (sīmā),Limit
444,वस्तु (vastu),Thing
445,पड़ी (paṛī),Lag
446,गति (gati),motion
447,अत्यन्त (atyant),Superior
448,संगठन (saṅgṭhan),organization
449,कितना (kitnā),how much
450,इस्तेमाल (istemāl),Use
451,बाबा (bābā),Dad
452,प्रकाशित (prakāśit),Published
453,ढंग (ḍhaṅg),behaviour
454,अधिकार (adhikār),Right
455,उधर (udhar),Thereal
456,पड़े (paṛe),Lying
457,सके (sake),Can
458,सूचना (sūcnā),Information
459,अंग्रेजी (aṅgrejī),English
460,सुन्दर (sundar),Beautiful
461,पुनः (punaḥ),Re
462,केंद्रीय (kendrīya),Central
463,आधुनिक (ādhunik),Modern
